district,province,area,density,loc_income_capita,population,loc_type_enc,distrct_vs_province
thới lai,cần thơ,266.9,411,5031,109684,3,0.08880065998958848
thốt nốt,cần thơ,122.0,1273,5031,155360,5,0.1257801551364143
vĩnh thạnh,cần thơ,305.8,322,5031,98399,3,0.07966427320589618
bình xuyên,vĩnh phúc,148.5,882,4290,131013,1,0.1138101418229012
lập thạch,vĩnh phúc,172.2,791,4290,136150,1,0.11827262034445435
phúc yên,vĩnh phúc,120.1,883,4290,106002,4,0.09208324863571686
sông lô,vĩnh phúc,149.9,659,4290,98738,1,0.08577305903467303
tam đảo,vĩnh phúc,234.7,358,4290,83931,1,0.07291031434543076
tam dương,vĩnh phúc,108.3,1056,4290,114391,1,0.0993707184269003
vĩnh tường,vĩnh phúc,144.0,1426,4290,205345,1,0.17838186723930943
vĩnh yên,vĩnh phúc,50.4,2364,4290,119128,4,0.10348571954751493
yên lạc,vĩnh phúc,107.7,1453,4290,156456,1,0.13591231060309916
buôn đôn,đắk lắk,1410.4,46,2715,64251,1,0.03437128541792158
buôn hồ,đắk lắk,282.5,349,2715,98732,2,0.052817010659479746
buôn ma thuột,đắk lắk,377.2,996,2715,375590,4,0.20092311543971558
cư kuin,đắk lắk,288.3,351,2715,101247,1,0.054162418245759694
cư mgar,đắk lắk,824.4,215,2715,177622,1,0.09501947765018547
ea hleo,đắk lắk,1335.1,103,2715,136880,1,0.07322440970576498
ea kar,đắk lắk,1037.5,139,2715,144450,1,0.07727400629747042
ea súp,đắk lắk,1765.6,40,2715,70724,1,0.03783403822348424
krông ana,đắk lắk,356.1,224,2715,79892,1,0.042738490211959204
krông bông,đắk lắk,1257.5,73,2715,92064,1,0.049249941957565366
krông buk,đắk lắk,357.8,181,2715,64859,1,0.03469653703321311
krông năng,đắk lắk,614.8,206,2715,126366,1,0.06759991055580579
krông pắk,đắk lắk,625.8,311,2715,194607,1,0.10410565969907806
lắk,đắk lắk,1256.0,56,2715,69885,1,0.03738521239251451
m'drắk,đắk lắk,1336.3,54,2715,72153,1,0.03859848651008226
cà mau,cà mau,249.2,908,3034,226372,4,0.1895157374447038
cái nước,cà mau,417.1,328,3034,136638,1,0.11439158258516706
đầm dơi,cà mau,810.0,217,3034,175629,1,0.14703434811582652
năm căn,cà mau,482.8,118,3034,56813,1,0.047563115541877775
ngọc hiển,cà mau,708.6,94,3034,66874,1,0.0559860558102465
phú tân,cà mau,448.2,218,3034,97703,1,0.08179569953686805
thới bình,cà mau,636.4,214,3034,135892,1,0.11376704094515085
trần văn thời,cà mau,697.5,283,3034,197679,1,0.16549432554526
u minh,cà mau,771.8,131,3034,100876,1,0.08445209447489946
cái bè,tiền giang,416.4,703,4534,292738,1,0.1659338448065254
cai lậy,tiền giang,141.0,891,4534,125615,2,0.07120285004123718
cai lậy,tiền giang,294.8,656,4534,193328,1,0.10958487913682521
châu thành,tiền giang,232.6,1133,4534,263426,1,0.14931880726794525
chợ gạo,tiền giang,230.9,813,4534,187711,1,0.10640097268710481
gò công,tiền giang,101.7,980,4534,99657,2,0.05648897366205925
gò công đông,tiền giang,273.2,509,4534,139060,1,0.07882393286418375
gò công tây,tiền giang,184.5,689,4534,127132,1,0.07206273718459232
mỹ tho,tiền giang,82.3,2772,4534,228109,4,0.12929993169650575
tân phú đông,tiền giang,223.1,189,4534,42078,1,0.023851240091033538
tân phước,tiền giang,330.1,198,4534,65331,1,0.03703183056198755
cẩm khê,phú thọ,233.9,596,3331,139424,1,0.09525280004591023
đoan hùng,phú thọ,302.9,380,3331,115131,1,0.07865611460068346
hạ hòa,phú thọ,341.5,307,3331,104997,1,0.07173268767515231
lâm thao,phú thọ,98.4,1097,3331,107989,1,0.07377678609247906
phù ninh,phú thọ,157.4,705,3331,111011,1,0.07584138014901697
phú thọ,phú thọ,65.2,1084,3331,70653,2,0.04826927990621196
tam nông,phú thọ,155.6,565,3331,87931,1,0.06007340171589491
tân sơn,phú thọ,688.6,125,3331,85731,1,0.0585703881737429
thanh ba,phú thọ,194.7,593,3331,115470,1,0.07888771532376962
thanh sơn,phú thọ,621.1,214,3331,133132,1,0.09095418131535547
thanh thủy,phú thọ,125.7,673,3331,84622,1,0.05781273271090354
việt trì,phú thọ,111.5,1926,3331,214777,4,0.14673306342853784
yên lập,phú thọ,438.2,212,3331,92858,1,0.06343946886234172
cam lâm,khánh hòa,547.2,199,3153,108979,1,0.08852114397854939
cam ranh,khánh hòa,327.0,400,3153,130814,4,0.10625721403582304
diên khánh,khánh hòa,337.6,424,3153,143211,1,0.11632701300536834
khánh sơn,khánh hòa,338.5,75,3153,25349,1,0.0205904117188839
khánh vĩnh,khánh hòa,1167.2,34,3153,39780,1,0.03231238227059061
nha trang,khánh hòa,254.3,1662,3153,422601,4,0.3432691065845617
ninh hòa,khánh hòa,1108.0,208,3153,230049,2,0.18686353013994722
trường sa,khánh hòa,496.3,0,3153,93,0,7.554176850590566e-05
vạn ninh,khánh hòa,561.8,232,3153,130231,1,0.1057836564977699
cẩm lệ,đà nẵng,35.8,4450,5284,159295,5,0.14043339122462115
hải châu,đà nẵng,23.3,8649,5284,201522,5,0.1776604279253467
hòa vang,đà nẵng,733.2,199,5284,145749,3,0.12849132953072792
hoàng sa,đà nẵng,305.0,0,5284,0,0,0.0
liên chiểu,đà nẵng,74.5,2616,5284,194913,5,0.1718339783657025
ngũ hành sơn,đà nẵng,40.2,2248,5284,90352,5,0.07965371018504641
sơn trà,đà nẵng,63.4,2483,5284,157415,5,0.13877599597993495
thanh khê,đà nẵng,9.5,19480,5284,185064,5,0.1631511667886204
cam lộ,quảng trị,344.5,139,2853,47777,1,0.07555169005732358
cồn cỏ,quảng trị,2.3,150,2853,346,0,0.0005471437042893852
đakrông,quảng trị,1224.5,35,2853,43208,1,0.06832654674836924
đông hà,quảng trị,73.0,1310,2853,95658,4,0.15126783949397113
gio linh,quảng trị,473.8,159,2853,75276,1,0.11903696382684326
hải lăng,quảng trị,425.1,187,2853,79533,1,0.12576872899782565
hướng hóa,quảng trị,1152.8,79,2853,90918,1,0.1437722870132437
quảng trị,quảng trị,72.9,320,2853,23356,2,0.03693378137971931
triệu phong,quảng trị,353.8,251,2853,88852,1,0.1405052381893655
vĩnh linh,quảng trị,617.2,142,2853,87451,1,0.13828978058904923
cẩm xuyên,hà tĩnh,636.4,235,3230,149313,1,0.11584835041036073
can lộc,hà tĩnh,302.1,427,3230,129098,1,0.10016402015415102
đức thọ,hà tĩnh,203.5,499,3230,101562,1,0.07879950281875696
hà tĩnh,hà tĩnh,56.6,1838,3230,104037,4,0.08071979554119668
hồng lĩnh,hà tĩnh,59.0,651,3230,38411,2,0.029802167176417097
hương khê,hà tĩnh,1262.7,79,3230,99307,1,0.07704990278275631
hương sơn,hà tĩnh,1096.8,103,3230,112426,1,0.08722861802545803
kỳ anh,hà tĩnh,282.2,294,3230,82955,2,0.06436278092524747
kỳ anh,hà tĩnh,759.6,160,3230,121662,1,0.09439460735250987
lộc hà,hà tĩnh,117.4,674,3230,79178,1,0.061432297849427324
nghi xuân,hà tĩnh,222.5,459,3230,102160,1,0.07926347657553229
thạch hà,hà tĩnh,353.9,396,3230,140213,1,0.10878788019856214
vũ quang,hà tĩnh,637.7,45,3230,28544,1,0.02214660018962406
càng long,trà vinh,293.9,503,3437,147694,1,0.14635224263948124
cầu kè,trà vinh,246.6,417,3437,102767,1,0.10183339146703027
cầu ngang,trà vinh,328.4,369,3437,121254,1,0.12015244240800342
châu thành,trà vinh,343.1,420,3437,144040,1,0.14273143817481332
duyên hải,trà vinh,175.1,275,3437,48210,2,0.04777202606503575
duyên hải,trà vinh,305.4,257,3437,78444,1,0.07773135890159022
tiểu cần,trà vinh,227.2,475,3437,107846,1,0.10686625021800136
trà cú,trà vinh,317.5,461,3437,146329,1,0.14499964327049608
trà vinh,trà vinh,67.9,1658,3437,112584,4,0.11156120685554834
cao lãnh,đồng tháp,107.3,1536,3965,164835,4,0.10152113876618882
cao lãnh,đồng tháp,491.1,402,3965,197614,1,0.12170957816083743
châu thành,đồng tháp,246.2,596,3965,146812,1,0.09042085372974011
hồng ngự,đồng tháp,121.8,826,3965,100610,4,0.06196524871093067
hồng ngự,đồng tháp,209.6,575,3965,120571,1,0.07425913927368673
lai vung,đồng tháp,238.7,688,3965,164240,1,0.10115468092916462
lấp vò,đồng tháp,246.0,734,3965,180627,1,0.1112473608876779
sa đéc,đồng tháp,59.1,1797,3965,106198,4,0.065406872901336
tam nông,đồng tháp,475.0,211,3965,99995,1,0.06158647296341827
tân hồng,đồng tháp,311.0,243,3965,75456,1,0.046473012689911386
thanh bình,đồng tháp,341.9,395,3965,134903,1,0.08308615392953662
tháp mười,đồng tháp,530.0,249,3965,131791,1,0.08116948705757145
cao phong,hòa bình,255.2,178,2707,45470,1,0.053235393633997596
đà bắc,hòa bình,778.0,71,2707,55002,1,0.06439527426120817
hòa bình,hòa bình,348.7,389,2707,135718,4,0.1588960007305671
kim bôi,hòa bình,551.0,216,2707,118767,1,0.1390500988724212
lạc sơn,hòa bình,587.5,233,2707,136652,1,0.15998950980587287
lạc thủy,hòa bình,313.6,193,2707,60393,1,0.0707069524464046
lương sơn,hòa bình,364.9,273,2707,99457,1,0.11644232559174178
mai châu,hòa bình,569.8,98,2707,55640,1,0.0651422322805284
tân lạc,hòa bình,532.0,163,2707,86889,1,0.10172795507949015
yên thủy,hòa bình,288.9,208,2707,60143,1,0.07041425729776814
châu thành,hậu giang,139.1,633,3974,88079,1,0.11320815344454627
châu thành a,hậu giang,153.4,636,3974,97606,1,0.12545322977223156
long mỹ,hậu giang,144.5,431,3974,62339,2,0.08012446868810466
long mỹ,hậu giang,254.0,305,3974,77346,1,0.09941300237652421
ngã bảy,hậu giang,78.1,1296,3974,101192,4,0.130062324315223
phụng hiệp,hậu giang,483.7,389,3974,188017,1,0.24165870850240415
vị thanh,hậu giang,119.1,616,3974,73322,4,0.09424094536564927
vị thủy,hậu giang,230.2,392,3974,90126,1,0.1158391675353169
châu thành,sóc trăng,236.3,403,3635,95188,1,0.07934627763194857
cù lao dung,sóc trăng,264.8,220,3635,58304,1,0.0486007203749751
kế sách,sóc trăng,352.8,423,3635,149156,1,0.12433261951580998
long phú,sóc trăng,263.7,357,3635,94255,1,0.07856855273983393
mỹ tú,sóc trăng,368.2,246,3635,90524,1,0.07545848674575065
mỹ xuyên,sóc trăng,373.7,402,3635,150067,1,0.12509200577166898
ngã năm,sóc trăng,242.2,306,3635,74115,2,0.06178036482216107
sóc trăng,sóc trăng,76.0,1807,3635,137305,4,0.11445392959464112
thạnh trị,sóc trăng,287.5,256,3635,73596,1,0.06134773972140277
trần đề,sóc trăng,378.0,298,3635,112463,1,0.09374627496451057
vĩnh châu,sóc trăng,468.7,351,3635,164680,2,0.13727302811729725
chiêm hóa,tuyên quang,1146.2,117,2681,134091,1,0.154090391974351
hàm yên,tuyên quang,900.6,135,2681,121342,1,0.13943990531021247
lâm bình,tuyên quang,917.6,56,2681,51421,1,0.059090334516955674
na hang,tuyên quang,863.5,50,2681,43248,1,0.04969834867445789
sơn dương,tuyên quang,787.8,233,2681,183600,1,0.2109835556934533
tuyên quang,tuyên quang,184.4,1036,2681,191118,4,0.21962284965697934
yên sơn,tuyên quang,1067.7,136,2681,145390,1,0.1670746141735903
cư jút,đắk nông,723.3,128,2809,92464,1,0.14316481821827431
đắk glong,đắk nông,1447.8,47,2809,67782,1,0.10494892832314275
đắk mil,đắk nông,679.0,148,2809,100702,1,0.1559199637071364
đắk rlấp,đắk nông,635.7,131,2809,83555,1,0.12937074305922208
đắk song,đắk nông,806.5,100,2809,80514,1,0.1246622704406703
gia nghĩa,đắk nông,284.1,299,2809,85082,4,0.1317350435158247
krông nô,đắk nông,813.7,91,2809,74446,1,0.11526700182857816
tuy đức,đắk nông,1119.3,55,2809,61312,1,0.09493123090715128
đại từ,thái nguyên,573.4,299,3806,171703,1,0.13343918131790844
định hóa,thái nguyên,513.5,174,3806,89288,1,0.06939027053408157
đồng hỷ,thái nguyên,427.7,216,3806,92421,1,0.07182508503976294
phổ yên,thái nguyên,258.9,759,3806,196378,2,0.15261538557187831
phú bình,thái nguyên,243.4,644,3806,156804,1,0.12186040655884472
phú lương,thái nguyên,350.7,292,3806,102292,1,0.0794963438924858
sông công,thái nguyên,96.7,717,3806,69382,4,0.053920300042510166
thái nguyên,thái nguyên,222.9,1527,3806,340403,4,0.26454457777767415
võ nhai,thái nguyên,839.4,81,3806,68080,1,0.052908449264853885
đắk glei,kon tum,1493.7,33,2375,48761,1,0.09022496567598874
đắk hà,kon tum,845.0,89,2375,74805,1,0.1384155074217579
đắk tô,kon tum,508.7,93,2375,47544,1,0.08797308849488748
ia h'drai,kon tum,980.2,10,2375,10210,1,0.01889208382830223
kon plông,kon tum,1371.2,19,2375,26025,1,0.04815538507654902
kon rẫy,kon tum,913.9,31,2375,28591,1,0.052903385772281
kon tum,kon tum,432.9,389,2375,168264,4,0.3113474626136578
ngọc hồi,kon tum,843.8,70,2375,58913,1,0.10900972914561892
sa thầy,kon tum,1431.7,35,2375,49914,1,0.09235842039234843
tu mơ rông,kon tum,859.3,32,2375,27411,1,0.05071997157860846
điện biên,điện biên,1396.0,67,1737,93850,1,0.15776901003098223
điện biên đông,điện biên,1209.0,55,1737,67080,1,0.11276659768650281
điện biên phủ,điện biên,308.2,261,1737,80366,4,0.13510137730580626
mường ảng,điện biên,443.5,109,1737,48416,1,0.0813909897672886
mường chà,điện biên,1199.4,40,1737,48005,1,0.08070006741115932
mường lay,điện biên,112.6,99,1737,11162,2,0.01876417357448933
mường nhé,điện biên,1573.7,29,1737,45727,1,0.07687057561733324
nậm pồ,điện biên,1498.1,37,1737,54908,1,0.09230453705680525
tủa chùa,điện biên,685.3,84,1737,57460,1,0.09659464375471752
tuần giáo,điện biên,1137.8,77,1737,87883,1,0.1477380277949154
đông hòa,phú yên,265.6,452,3224,119991,2,0.13667786370144583
đồng xuân,phú yên,1033.3,53,3224,55030,1,0.06268289154595398
phú hòa,phú yên,258.8,394,3224,102074,1,0.11626918901802119
sơn hòa,phú yên,937.8,63,3224,59497,1,0.06777110663837223
sông cầu,phú yên,492.8,202,3224,99432,2,0.11325977234594395
sông hinh,phú yên,893.2,58,3224,51816,1,0.059021928190898625
tây hòa,phú yên,623.7,178,3224,110983,1,0.1264171425121681
tuy an,phú yên,407.6,302,3224,123167,1,0.14029554248665296
tuy hòa,phú yên,110.6,1410,3224,155921,4,0.17760456356054316
đông hưng,thái bình,199.3,1228,4209,244838,1,0.13160170647161676
hưng hà,thái bình,210.3,1204,4209,253272,1,0.13613502561481192
kiến xương,thái bình,202.0,1073,4209,216682,1,0.1164677091043174
quỳnh phụ,thái bình,210.0,1147,4209,240940,1,0.12950651106965155
thái bình,thái bình,68.1,3026,4209,206037,4,0.11074596588884285
thái thụy,thái bình,268.4,951,4209,255222,1,0.1371831608210285
tiền hải,thái bình,231.3,932,4209,215535,1,0.11585119060096848
vũ thư,thái bình,196.9,1158,4209,227921,1,0.12250873042876255
gia viễn,ninh bình,176.7,685,3904,120992,1,0.1231487032398393
hoa lư,ninh bình,103.5,694,3904,71839,1,0.07311954254865459
kim sơn,ninh bình,215.7,848,3904,182942,1,0.18620297266019806
nho quan,ninh bình,450.6,333,3904,149830,1,0.15250074555693865
ninh bình,ninh bình,46.8,2745,3904,128480,4,0.1307701781295834
tam điệp,ninh bình,104.9,599,3904,62866,4,0.06398659727813193
yên khánh,ninh bình,142.6,1031,3904,147069,1,0.14969053025638
yên mô,ninh bình,146.1,811,3904,118469,1,0.1205807303302741
giao thủy,nam định,237.8,705,4096,167752,1,0.09422189370549086
hải hậu,nam định,228.1,1153,4096,262901,1,0.14766458866104282
mỹ lộc,nam định,74.5,973,4096,72514,1,0.040729209786827966
nam định,nam định,46.4,5093,4096,236294,4,0.13272013538583896
nam trực,nam định,163.9,1118,4096,183241,1,0.10292165830802526
nghĩa hưng,nam định,258.9,679,4096,175786,1,0.09873438055530437
trực ninh,nam định,144.0,1198,4096,172557,1,0.09692073603973954
vụ bản,nam định,152.8,856,4096,130862,1,0.07350174933287201
xuân trường,nam định,116.1,1288,4096,149480,1,0.08395899107668925
ý yên,nam định,261.1,877,4096,229006,1,0.12862665714816898
lai châu,lai châu,92.4,465,1905,42973,4,0.09387075705182955
mường tè,lai châu,2679.3,17,1905,46143,1,0.100795344580145
nậm nhùn,lai châu,1388.0,20,1905,27261,1,0.05954926833104334
phong thổ,lai châu,1029.2,77,1905,79645,1,0.17397753113333872
sìn hồ,lai châu,1527.0,55,1905,83643,1,0.18271081218640028
tam đường,lai châu,662.9,79,1905,52470,1,0.1146161222746724
tân uyên,lai châu,897.3,65,1905,58104,1,0.1269231021278362
than uyên,lai châu,792.5,85,1905,67550,1,0.1475570623147345
lục yên,yên bái,810.0,134,2522,108817,1,0.13290122755657496
mù cang chải,yên bái,1197.9,53,2522,63961,1,0.07811734761798332
nghĩa lộ,yên bái,107.8,633,2522,68206,2,0.08330188414240193
trạm tấu,yên bái,743.4,46,2522,33962,1,0.04147873485095526
trấn yên,yên bái,629.1,135,2522,84675,1,0.10341593173266111
văn chấn,yên bái,1129.9,103,2522,116804,1,0.1426559727204222
văn yên,yên bái,1390.3,93,2522,129679,1,0.1583805681861206
yên bái,yên bái,106.8,942,2522,100631,4,0.12290343815989868
yên bình,yên bái,772.4,145,2522,112046,1,0.13684489503298194
